,Country,Protest Name,Start Date,Freedom Rating (Status),Triggers,Motivations,Peak Size,Key Participants,Duration,Outcomes,Active protests,Economic motivation?,Political motivation?,Corruption motivation?,Size category,Protests with a significant outcome,"Large protests (Over 100,000 protesting)",Violent government response,Long protests (more than 3 months),Coronavirus-related protests,Capital city,Country name,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Ladder Range
249,Russia,Aleksei Navalny arrest protests,Jan-21,Not free,Arrest of opposition leader and anticorruption activist Aleksei Navalny.,"Frustration over a lack of genuine political pluralism, widespread corruption, and economic stagnation.",">100,000",General public.,4 months,No policy/leadership change in response to protests.,,X,X,X,Hundreds of of thousands,,X,,X,,Moscow,Russia,Commonwealth of Independent States,5.477,0.033,5.541,5.413,10.189,0.903,64.703,0.718,-0.111,0.845,2.43,1.241,0.992,0.511,0.409,0.115,0.06,2.148,0.1280000000000001
250,Russia,Khabarovsk protests,Jul-20,Not free,Arrest of the popular regional governor Sergei Furgal on murder charges.,"Increasing resentment among the outer regions of Russia toward the Kremlin for intruding in regional affairs, anger among opposition parties that feel they are powerless in the restrictive political system, and concern over political repression.","50,000",General public.,5 months,No policy/leadership change in response to the protests.,,,X,X,Tens of thousands,,,,X,,Moscow,Russia,Commonwealth of Independent States,5.477,0.033,5.541,5.413,10.189,0.903,64.703,0.718,-0.111,0.845,2.43,1.241,0.992,0.511,0.409,0.115,0.06,2.148,0.1280000000000001
251,Russia,Coronavirus restrictions protest,Apr-20,Not free,Economic implications of the shutdown and self-isolation measures established in response to the coronavirus pandemic.,"Concern over the economic effects of the shutdown, particularly in poorer areas that have lower infection rates.","2,000","Opposition leaders, activists.",1 day,No policy/leadership change in response to the protest.,,X,X,,Thousands,X,,X,X,,Moscow,Russia,Commonwealth of Independent States,5.477,0.033,5.541,5.413,10.189,0.903,64.703,0.718,-0.111,0.845,2.43,1.241,0.992,0.511,0.409,0.115,0.06,2.148,0.1280000000000001
252,Russia,Constitutional changes protests,Feb-20,Not free,"Constitutional changes that could allow President Vladimir Putin to stay in power past 2024, as well as the five-year anniversary of the death of an opposition leader.","Opposition to constitutional changes, falling popularity of Putin","22,000",General public.,1 month,No policy/leadership change in response to the protests.,,,X,,Thousands,,,X,X,,Moscow,Russia,Commonwealth of Independent States,5.477,0.033,5.541,5.413,10.189,0.903,64.703,0.718,-0.111,0.845,2.43,1.241,0.992,0.511,0.409,0.115,0.06,2.148,0.1280000000000001
253,Russia,Moscow election protests,Jul-19,Not free,Banning of some opposition politicians from running in Moscow city council elections.,Growing authoritarianism under President Vladimir Putin.,"50,000",Political opposition.,1 month,No policy/leadership change in response to the protests.,,,X,,Thousands,,,X,X,,Moscow,Russia,Commonwealth of Independent States,5.477,0.033,5.541,5.413,10.189,0.903,64.703,0.718,-0.111,0.845,2.43,1.241,0.992,0.511,0.409,0.115,0.06,2.148,0.1280000000000001
254,Russia,Corruption protest,Mar-17,Not free,"Publication of a video by opposition politician Alexei Navalny, alleging that then prime minister Dmitry Medvedev had accumulated luxury mansions, yachts, and vineyards.",Economic downturn and corruption.,"60,000","Opposition groups with various political affiliations, young people.",1 day,No policy/leadership change in response to the protests.,,,X,,Thousands,,,,X,,Moscow,Russia,Commonwealth of Independent States,5.477,0.033,5.541,5.413,10.189,0.903,64.703,0.718,-0.111,0.845,2.43,1.241,0.992,0.511,0.409,0.115,0.06,2.148,0.1280000000000001
255,Senegal,Opposition leader arrest protests,Mar-21,Partly free,Arrest of opposition leader Ousmane Sonko.,Frustration with decreasing political pluralism and the perception that incumbent President Macky Sall is suppressing political opposition.,">1,000",General public.,1 month,No policy/leadership change in response to protests.,,,X,,Thousands,,,,,,Dakar,Senegal,Sub-Saharan Africa,5.132,0.068,5.266,4.998,8.118,0.71,59.802,0.695,-0.046,0.801,2.43,0.518,0.558,0.357,0.381,0.158,0.088,3.071,0.2679999999999998
256,Serbia,Environmental protest,Sep-21,Partly free,Call for protest by thirty environmental groups over plans to develop a lithium mine; introduction of laws to ease expropriation of land and the holding of referenda on environmental issues.,Concerns over worsening pollution and the environmental impact of mining.,">1,000",General public.,4 months,"The Serbian government announced that it would hold a referendum on future mine and factory construction; in December 2021, the government suspended laws and plans that would have allowed the project to go forward; and in January it announced that the project had been canceled altogether.",,X,X,,Thousands,X,,,X,,Belgrade,Serbia,Central and Eastern Europe,6.078,0.053,6.181,5.974,9.787,0.873,68.6,0.778,0.002,0.835,2.43,1.101,0.924,0.634,0.482,0.189,0.066,2.682,0.20699999999999985
257,Serbia,Coronavirus protests,Jul-20,Partly free,Announcement that the government would reimpose a curfew and other restrictions amid a surge in COVID-19 cases—just two weeks after the country’s parliamentary elections that opposition leaders decried as illegitimate.,"Public perceptions that President Aleksandar Vucic’s decision to lift lockdown measures in May was only made to give his party the advantage in the upcoming parliamentary elections (by acting as if he had defeated the outbreak), concerns over the true extent of the outbreak, and exasperation with underlying issues of government corruption and authoritarianism.",">10,000",Opposition parties.,4 weeks,No policy/leadership change in response to the protests.,,,X,,Hundreds,,,X,,,Belgrade,Serbia,Central and Eastern Europe,6.078,0.053,6.181,5.974,9.787,0.873,68.6,0.778,0.002,0.835,2.43,1.101,0.924,0.634,0.482,0.189,0.066,2.682,0.20699999999999985
258,Serbia,“1 Out of 5 Million” protests,Dec-18,Free,"Violent attack on an opposition leader, and President Aleksandar Vučić’s mockery of the ensuing protests.","Corruption, nepotism, government incompetence, state control of media, and rising authoritarianism.","37,500",Young people.,"1 year, 2 months",No policy/leadership change in response to the protests.,,,X,,Thousands,,,X,,,Belgrade,Serbia,Central and Eastern Europe,6.078,0.053,6.181,5.974,9.787,0.873,68.6,0.778,0.002,0.835,2.43,1.101,0.924,0.634,0.482,0.189,0.066,2.682,0.20699999999999985
259,Slovakia,Coronavirus restrictions protest,Nov-20,Free,Ongoing pandemic-related restrictions and the commemoration of Slovenia’s national Fight for Freedom and Democracy Day.,Frustration with ongoing coronavirus restrictions.,">1,000","General public, especially far-right activists.",1 day,No policy or leadership change in response to the protests.,,,X,,Thousands,,,,,X,Bratislava,Slovakia,Central and Eastern Europe,6.331,0.041,6.411,6.251,10.369,0.936,69.201,0.766,-0.124,0.911,2.43,1.304,1.066,0.653,0.468,0.107,0.018,2.714,0.15999999999999925
260,Slovakia,“For a Decent Slovakia” protests,Mar-18,Free,Murder of a journalist who was at the time investigating connections between the Italian mafia and high-ranking Slovakian politicians.,Continued government corruption and popular distrust in the current government.,"65,000",General public.,"1 year, 6 months",Then prime minister Robert Fico resigned and was succeeded by a deputy.,,,X,,Thousands,,,,,,Bratislava,Slovakia,Central and Eastern Europe,6.331,0.041,6.411,6.251,10.369,0.936,69.201,0.766,-0.124,0.911,2.43,1.304,1.066,0.653,0.468,0.107,0.018,2.714,0.15999999999999925
261,Slovenia,Anti-Jansa protests,Mar-20,Free,"Allegations of corruption, illiberalism, and declining freedom under the government of Prime Minister Janez Jansa.",Frustration with rising illiberalism and poor governance under Jansa’s government.,">10,000",General public.,"16 months, intermittently",No policy/leadership change in response to protest.,,,X,X,Tens of thousands,,,,X,X,Ljubljana,Slovenia,Central and Eastern Europe,6.461,0.043,6.546,6.376,10.529,0.948,71.4,0.949,-0.101,0.806,2.43,1.36,1.093,0.722,0.69,0.122,0.085,2.388,0.16999999999999993
262,Solomon Islands,Malaita protests,Nov-21,Free,Call for protests by Malaita for democracy amid growing tensions between the government of Malaita Province and the national government over relations with China and the United States.,Frustration over unequal distribution of resources between Guadalcanal and Malaita and the government's decision in 2019 to recognize the People's Republic of China instead of Taiwan.,">1,000",Residents of Malaita.,2 weeks,No policy/leadership change in response to protest.,,X,X,,Thousands,,,,,,Honiara,,,,,,,,,,,,,,,,,,,,,
263,Somalia,Examination protest,May-19,Not free,"The leakage of information on the unified national secondary school exam on social media, and an announcement that the exams would be rescheduled.",Anger over poor service delivery and the failure to administer the exam.,">1,000","General public, especially students.",1 week,No policy/leadership change in response to protests.,,,X,,Thousands,,,,,,Mogadishu,,,,,,,,,,,,,,,,,,,,,
264,Somalia,Soldier pay protests,Mar-17,Not free,Government failure to give fifteen months of back pay owed to soldiers.,Anger over corruption and poor working conditions for soldiers.,">2,000",Soldiers.,3 months,Officials promised that soldiers would get back pay.,,,X,,Hundreds,,,X,,,Mogadishu,,,,,,,,,,,,,,,,,,,,,
265,Somalia,Police violence protests,Apr-20,Not free,The fatal shooting of two civilians by security forces enforcing coronavirus lockdown restrictions.,"Recurring police brutality, especially during the enforcement of coronavirus restrictions.",>500,General public.,1 week,The perpetrator was arrested and charged with murder.,,X,X,X,Thousands,,,,,,Mogadishu,,,,,,,,,,,,,,,,,,,,,
266,South Africa,Zuma arrest protests,Jul-21,Free,Imprisonment of former president Jacob Zuma after he was found guilty of contempt of court.,"Fragmentation within the African National Congress, strong loyalty to Zuma, concerns that the judicial process had been politicized, and frustrations with long-standing poverty and inequality.",">10,000",General public.,2 weeks,No policy/leadership change in response to protest.,,,X,X,Tens of thousands,,,X,,,"Pretoria, Cape Town, Bloemfontein",South Africa,Sub-Saharan Africa,4.956,0.06,5.074,4.839,9.403,0.86,56.904,0.749,-0.067,0.86,2.43,0.967,0.895,0.265,0.447,0.144,0.051,2.187,0.23499999999999943
267,South Africa,Violence against women protests,Sep-19,Free,Spate of femicides.,Violence against women and lack of institutional protections for women.,"4,000","Trade unions, students, feminist groups, families, representatives from parties on the political right and left.",1 month,"In November 2019, President Cyril Ramphosa launched a “16 days of activism” campaign to raise awareness around the rights of women and girls. In his 2020 State of the Union, Ramphosa announced plans to help curb violence against women.",,,X,,Thousands,,,X,,,"Pretoria, Cape Town, Bloemfontein",South Africa,Sub-Saharan Africa,4.956,0.06,5.074,4.839,9.403,0.86,56.904,0.749,-0.067,0.86,2.43,0.967,0.895,0.265,0.447,0.144,0.051,2.187,0.23499999999999943
268,South Africa,Anti-Zuma protest,Apr-17,Free,Ouster of popular African National Congress finance minister Pravin Gordhan.,"Economic challenges, inequality, corruption, political cronyism, and growing disapproval of then president Jacob Zuma.","30,000",Gender rights activist organizations.,1 day,No policy/leadership change in response to the protests.,,X,X,X,Thousands,,,,,,"Pretoria, Cape Town, Bloemfontein",South Africa,Sub-Saharan Africa,4.956,0.06,5.074,4.839,9.403,0.86,56.904,0.749,-0.067,0.86,2.43,0.967,0.895,0.265,0.447,0.144,0.051,2.187,0.23499999999999943
269,South Korea,Justice minister protests,Oct-19,Free,"Allegations of corruption against the then justice minister, Cho Kuk, who had pushed for prosecutorial reforms.",Government corruption and public distrust of prosecutors.,">100,000","General public, but particularly right-wing activists.",2 months,Then justice minister Cho resigned.,,X,,,Thousands,X,,,,,Seoul,South Korea,East Asia,5.845,0.042,5.928,5.763,10.651,0.799,73.9,0.672,-0.083,0.727,2.43,1.403,0.758,0.801,0.353,0.134,0.135,2.262,0.16500000000000004
270,South Korea,Candlelight demonstrations,Oct-16,Free,"Revelations that Choi Soon-sil, the confidante and old friend of then president Park Geun-hye, exercised undue influence. Choi allegedly urged businesses to donate to her own foundations in return for political favors, accessed classified government documents despite lacking the necessary authorization, and played a role in selecting presidential aides.","Improper influence of outside individuals, including friends of politicians as well as business elites and family-run conglomerates; increasing class divisions and inequality and lack of social mobility and economic opportunity, especially for younger citizens; and patriarchy and sexism in South Korea.",1.5 million,"Anti-Cho protesters: evangelical Christian activists, conservatives, older citizens; pro-Cho protestors: younger, urban, white-collar workers.",5 months,Park was impeached.,,,X,,Thousands,X,,,,,Seoul,South Korea,East Asia,5.845,0.042,5.928,5.763,10.651,0.799,73.9,0.672,-0.083,0.727,2.43,1.403,0.758,0.801,0.353,0.134,0.135,2.262,0.16500000000000004
271,Spain,Rising price protests,Mar-22,Free,"Rising prices for food, fuel, and energy.",Frustration with rising economic pressures and the perceived failure of the government to address rising prices.,">100,000","Farmers, truckers.",1 week,No policy/leadership change in response to protest.,,X,X,,Hundreds of of thousands,,X,,,,Madrid,Spain,Western Europe,6.491,0.042,6.574,6.408,10.571,0.932,74.7,0.761,-0.081,0.745,2.43,1.375,1.057,0.826,0.462,0.135,0.124,2.513,0.16599999999999948
272,Spain,Rapper arrest protests,Feb-21,Free,"The arrest of rapper Pablo Hasel, a supporter of Catalonian independence who was convicted of terrorism-related offenses in the wake of the Catalan independence movement.",Ongoing tensions between advocates of Catalonian independence and the Spanish government and concerns over suppression of free expression.,">1,000","General public, especially supporters of Catalonian independence.",3 weeks,No policy/leadership change in response to protests.,,,X,,Thousands,,,X,,,Madrid,Spain,Western Europe,6.491,0.042,6.574,6.408,10.571,0.932,74.7,0.761,-0.081,0.745,2.43,1.375,1.057,0.826,0.462,0.135,0.124,2.513,0.16599999999999948
273,Spain,Coronavirus lockdown protest,Aug-20,Free,"Introduction of social restrictions, including smoking bans and the closure of nightclubs, in repsonse to the COVID-19 pandemic.",Opposition to stringent social restrictions and increasingly widespread belief in COVID-related conspiracy theories.,">2,500",Supporters of the far-right Vox party.,1 day,No policy/leadership change in response to the protests.,,,X,,Thousands,,,X,,,Madrid,Spain,Western Europe,6.491,0.042,6.574,6.408,10.571,0.932,74.7,0.761,-0.081,0.745,2.43,1.375,1.057,0.826,0.462,0.135,0.124,2.513,0.16599999999999948
274,Spain,Coronavirus protest,May-20,Free,"Protesters’ claims that the government misrepresented the extent of the health crisis, violated citizens’ rights by confining them to their homes and ruling by decree, and damaged the economy.","Economic effects of the lockdown, and concerns of government overreach.",Thousands,Pro-independence groups and their supporters.,1 day,No policy/leadership change in response to the protest.,,X,X,,Thousands,,,,,,Madrid,Spain,Western Europe,6.491,0.042,6.574,6.408,10.571,0.932,74.7,0.761,-0.081,0.745,2.43,1.375,1.057,0.826,0.462,0.135,0.124,2.513,0.16599999999999948
275,Spain,Catalan independence protests,Oct-19,Free,Sentencing of Catalan separatist leaders to prison.,"Catalan independence, dissatisfaction with the government response to the independence movement, and belief that Catalonia should retain more of its own tax revenues.","600,000",Supporters of the former prime minister.,2 months,"No policy/leadership change in response to the protests. After winning support from Catalan separatist party, Prime Minister Pedro Sánchez promised to resolve the Catalan dispute through dialogue.",,X,X,,Thousands,,,X,,,Madrid,Spain,Western Europe,6.491,0.042,6.574,6.408,10.571,0.932,74.7,0.761,-0.081,0.745,2.43,1.375,1.057,0.826,0.462,0.135,0.124,2.513,0.16599999999999948
276,Sri Lanka,Constitutional crisis protests,Oct-18,Partly free,Then president Maithripala Sirisena’s dismissal of then prime minster Ranil Wickremesinghe and the suspension of parliament.,Fears of majoritarianism and return of minority repression.,"62,500","General public, trade union of professionals, women.",2 days,Wickremasinghe was reappointed as prime minister for a time.,,X,X,,Thousands,,,X,,,Colombo,Sri Lanka,South Asia,4.325,0.066,4.454,4.196,9.47,0.827,67.299,0.841,0.079,0.863,2.43,0.99,0.82,0.593,0.559,0.239,0.049,1.075,0.258
277,Sudan,National Congress Party protests,Oct-19,Not free,Lack of punitive action against members of former president Omar Bashir’s inner circle.,Frustration over the ongoing influence of members of Bashir’s National Congress Party and impunity for perpetrators of protest crackdowns.,">1,000",General public.,2 months,The government dissolved the National Congress Party.,,,X,,Thousands,,,,,,Khartoum,,,,,,,,,,,,,,,,,,,,,
278,Sudan,Darfur insecurity protests,Jul-20,Not free,Recurring militia attacks in the Darfur region.,Anger over the state’s failure to keep citizens safe from militia attacks.,">1,000",Residents of Darfur.,1 month,The government dismissed the regional chief of police and his deputy.,,X,,X,Thousands,X,,,,,Khartoum,,,,,,,,,,,,,,,,,,,,,
279,Sudan,Sudanese revolution,Dec-18,Not free,Hike in bread prices during a period of high inflation.,"Discontent with the ruling party and political and economic elites, economic downturn, and the heavy-handed response to initial protests.",">100,000","Public employees such as military personnel, teachers, police, civil servants.",1 year,"Then president Omar Al-Bashir was forced out of office, and his regime was dismantled. A transition government composed of both military and civilian leaders is currently in place, with elections scheduled for 2021.",,X,X,,Hundreds,X,,,,,Khartoum,,,,,,,,,,,,,,,,,,,,,
280,Switzerland,Coronavirus restriction protests,Feb-21,Free,The imposition of vaccine mandates and public health restrictions across Switzerland.,Frustration with ongoing coronavirus restrictions and mandates; demands for a national referendum on COVID-19 policy.,">10,000",General public.,1 year,"Switzerland held a referendum on legislation enabling coronavirus restrictions, including a health pass in November 2021, which passed.",,,X,,Tens of thousands,X,,,X,X,Bern,Switzerland,Western Europe,7.571,0.036,7.643,7.5,11.117,0.942,74.4,0.919,0.025,0.292,2.43,1.566,1.079,0.816,0.653,0.204,0.413,2.839,0.1429999999999998
281,Syria,Economic crisis protests,Jun-20,Not free,Imposition of U.S. sanctions that decreased the value of the Syrian pound by two-thirds.,Economic insecurity stemming from the rapid devaluation of the Syrian pound.,>500,General public.,1 month,Prime minister Imad Khamis was fired from his post.,,,,X,Thousands,,,,,,Damascus,,,,,,,,,,,,,,,,,,,,,
282,Taiwan,Taiwan “Yellow Vest” protests,Dec-18,Free,High taxes and the unfair handling of tax disputes.,An unfair and confusing taxation system.,"20,000","Coalition of opposition parties, protestors from varying age groups, social classes, ethnicities.",2 weeks,No policy/leadership change in response to the protests.,,,X,,Hundreds,X,,,,,Taipei,,,,,,,,,,,,,,,,,,,,,
283,Taiwan,Pension reform protest,Jan-17,Free,Pension reform plans.,"Discontent with the government, slowing economic growth, and concerns over the pension system's solvency with a rapidly aging population.","12,000","Activist groups, general public.",1 day,No policy/leadership change in response to the protests.,,,,X,Hundreds,,,,,,Taipei,,,,,,,,,,,,,,,,,,,,,
284,Thailand,Party ban protest,Dec-19,Not free,Move by judicial and electoral authorities to disband the pro-democracy Future Forward Party.,"Frustration over a lack of genuine political pluralism, and repression by the military junta.",">1,000",General public.,1 day,No policy/leadership change in response to protests.,,,X,,Hundreds,,,X,,,Bangkok,Thailand,Southeast Asia,5.985,0.047,6.077,5.893,9.805,0.888,67.401,0.884,0.287,0.895,2.43,1.107,0.957,0.596,0.611,0.375,0.028,2.309,0.18400000000000016
285,Thailand,Housing project protests,Apr-18,Not free,Construction of a luxury apartment complex on forested land in Chiang Mai.,Concern over environmental degradation and frustration over privileged treatment for public officials.,">1,000",General public.,1 month,No policy/leadership change in response to protests.,,,X,,Hundreds,,,,,,Bangkok,Thailand,Southeast Asia,5.985,0.047,6.077,5.893,9.805,0.888,67.401,0.884,0.287,0.895,2.43,1.107,0.957,0.596,0.611,0.375,0.028,2.309,0.18400000000000016
286,Togo,Term limit protests,Sep-17,Partly free,Demands for presidential term limits on President Faure Gnassingbé.,"Concerns over dynastic politics, poor living conditions, and high youth unemployment.","800,000",General public.,7 months,No policy/leadership change in response to the protests.,,,X,,Tens of thousands,,,,,,,Togo,Sub-Saharan Africa,4.107,0.077,4.258,3.956,7.362,0.569,54.914,0.619,0.032,0.772,2.43,0.254,0.239,0.203,0.289,0.209,0.107,2.806,0.30200000000000005
287,Tunisia,Coronavirus crisis protests,Jul-21,Free,A surge in coronavirus infections that has devastated Tunisia’s public health infrastructure and spurred economic insecurity.,"Frustration with the govenrment’s ineffectual coronavirus response, sluggish vaccine rollouts, declining state services, and persistent economic inequality and insecurity.",">1,000",General public.,1 month,President Kais Saied dismissed prime minister Hichem Mechichi and suspended parliament.,,X,X,,Thousands,X,,,,X,Tunis,Tunisia,Middle East and North Africa,4.596,0.058,4.709,4.484,9.266,0.691,67.201,0.656,-0.201,0.87,2.43,0.919,0.515,0.59,0.334,0.057,0.044,2.138,0.22499999999999964
288,Tunisia,Police brutality protests,Jun-21,Free,Death of Ahmed Ben Ammar in police custody on June 8.,Frustration with ongoing police brutality.,">1,000",General public.,2 weeks,No policy/leadership change in response to protest.,,,X,,Thousands,,,,,,Tunis,Tunisia,Middle East and North Africa,4.596,0.058,4.709,4.484,9.266,0.691,67.201,0.656,-0.201,0.87,2.43,0.919,0.515,0.59,0.334,0.057,0.044,2.138,0.22499999999999964
289,Tunisia,Youth protests,Jan-21,Free,"High youth unemployment and dire economic prospects for young people, especially amid the coronavirus pandemic.",Frustration over the lack of economic opportunity for young people.,">10,000",Youth.,3 weeks,No policy/leadership change in response to protests.,,X,X,,Thousands,,,,,X,Tunis,Tunisia,Middle East and North Africa,4.596,0.058,4.709,4.484,9.266,0.691,67.201,0.656,-0.201,0.87,2.43,0.919,0.515,0.59,0.334,0.057,0.044,2.138,0.22499999999999964
290,Tunisia,Unemployment protests,Jun-20,Free,"High unemployment, failing infrastructure, the killing of a young man by police, and the underdevelopment of southern Tunisia’s economy and private sector.",Government’s failure to honor its 2017 pledge to invest millions in southern Tunisia’s economy and generate jobs.,">1,000",Turkey’s largest pposition party.,1 month,Prime Minister Elyes Fakhfakh resigned.,,X,,,Tens of thousands,X,,,X,,Lomé,Tunisia,Middle East and North Africa,4.596,0.058,4.709,4.484,9.266,0.691,67.201,0.656,-0.201,0.87,2.43,0.919,0.515,0.59,0.334,0.057,0.044,2.138,0.22499999999999964
291,Turkey,Treaty withdrawal protests,Mar-21,Not free,Turkish govenrment’s announcement that it would withdraw from the 2011 Istanbul Convention on violence against women.,Anger over widespread gender-based violence and discrimination against LGBT communities.,">1,000","General public, especially women.","9 months, intermittently",No policy/leadership change in response to protests.,,,X,,Thousands,,,,,,Ankara,Turkey,Middle East and North Africa,4.948,0.046,5.038,4.857,10.24,0.822,67.199,0.576,-0.139,0.776,2.43,1.26,0.809,0.59,0.236,0.097,0.104,1.852,0.18100000000000005
292,Turkey,University rector protests,Jan-21,Not free,President Recep Tayyip Erdogan’s appointment of Melih Bulu as rector of Bogazici University.,Concern that the Erdogan govenrment is undermining academic freedom at one of Turkey’s leading universities.,">1,000",Students.,2 months,"In July 2021, Bulu was dismissed as rector.",,,X,,Thousands,X,,,,,Ankara,Turkey,Middle East and North Africa,4.948,0.046,5.038,4.857,10.24,0.822,67.199,0.576,-0.139,0.776,2.43,1.26,0.809,0.59,0.236,0.097,0.104,1.852,0.18100000000000005
293,Turkey,Mayoral appointment protests,Sep-19,Not free,Government move to replace elected Kurdish mayors with state-appointed officials.,Anger over the government’s move to reduce Kurdish autonomy.,">10,000",Kurds.,1 week,No policy/leadership change in response to protests.,,X,X,,Thousands,,,,X,,Ankara,Turkey,Middle East and North Africa,4.948,0.046,5.038,4.857,10.24,0.822,67.199,0.576,-0.139,0.776,2.43,1.26,0.809,0.59,0.236,0.097,0.104,1.852,0.18100000000000005
294,Turkey,Gender-based violence protest,Aug-20,Not free,"Reports that President Recep Tayyip Erdogan was considering withdrawing Turkey from the Istanbul Convention, which put forward principles to fight violence against women.",Anger over the government’s failure to address persistent violence against women.,">1,000",Women.,1 day,No policy/leadership change in response to protests.,,,X,,Thousands,,,,,,Ankara,Turkey,Middle East and North Africa,4.948,0.046,5.038,4.857,10.24,0.822,67.199,0.576,-0.139,0.776,2.43,1.26,0.809,0.59,0.236,0.097,0.104,1.852,0.18100000000000005
295,Turkey,State of emergency protests,Apr-18,Not free,Announcement that the government would extend a nationwide state of emergency a seventh time.,Concerns over authoritarian consolidation under President Recep Tayyip Erdogan in the wake of the 2016 coup attempt.,">5,000",General public.,1 week,No policy/leadership change in response to protests.,,X,,,Hundreds,X,,,X,,Ankara,Turkey,Middle East and North Africa,4.948,0.046,5.038,4.857,10.24,0.822,67.199,0.576,-0.139,0.776,2.43,1.26,0.809,0.59,0.236,0.097,0.104,1.852,0.18100000000000005
296,Turkey,Economic protest,Dec-18,Not free,"Rising cost of living, high inflation, and “Yellow Vest” movement in France.","Rising inflation, slowing economic growth, and high cost of living.",">1,000","War veterans, moderate critics of Zelensky, nationalist and far-right activists.",1 day,No policy/leadership change in response to the protests.,,,X,,Hundreds,X,,,X,,Ankara,Turkey,Middle East and North Africa,4.948,0.046,5.038,4.857,10.24,0.822,67.199,0.576,-0.139,0.776,2.43,1.26,0.809,0.59,0.236,0.097,0.104,1.852,0.18100000000000005
297,Turkey,“March for Justice” protest,Jul-17,Not free,End of twenty-five-day “March for Justice” against President Recep Tayyip Erdoğan.,Government crackdown against critics and civil servants and the expansion of executive power.,">100,000",Public service workers’ unions.,1 day,No policy/leadership change in response to the protests.,,,X,,Thousands,,,X,X,,Ankara,Turkey,Middle East and North Africa,4.948,0.046,5.038,4.857,10.24,0.822,67.199,0.576,-0.139,0.776,2.43,1.26,0.809,0.59,0.236,0.097,0.104,1.852,0.18100000000000005
298,Turkmenistan,Storm damage protest,May-20,Not free,Government failure to provide aid after a severe storm hit the city of Turkmenabat.,Frustration over poor service delivery and the government’s failure to address reconstruction needs after the storm.,">1,000",General public.,1 day,No policy/leadership change in response to protests.,,,X,,Tens of thousands,,,X,X,,Ashgabat,Turkmenistan,Commonwealth of Independent States,5.066,0.036,5.136,4.996,9.629,0.983,62.409,0.877,0.273,0.888,2.43,1.046,1.172,0.439,0.602,0.366,0.033,1.409,0.13999999999999968
299,Uganda,Opposition leader arrest protests,Nov-20,Not free,Arrest of opposition presidential candidates Bobi Wine and Patrick Amuriat.,"Opposition to the entrenchment of incumbent president Yoweri Museveni, lack of genuine political pluralism, and recurring crackdowns on political opposition.",">1,000","General public, especially supporters of Bobi Wine and Patrick Amuriat.",3 months,No policy or leadership change in response to the protests.,,,X,,Thousands,,,X,,,Kampala,Uganda,Sub-Saharan Africa,4.636,0.073,4.78,4.493,7.677,0.781,56.101,0.709,0.122,0.855,2.43,0.364,0.718,0.24,0.398,0.267,0.054,2.596,0.2869999999999999
300,Uganda,Electoral protests,Jan-21,Not free,Declaration by the Ugandan electoral commission that incumbent President Yoweri Museveni had won reelection amid widespread allegations of electoral fraud and manipulation.,Concerns over lack of electoral integrity and meaningful political pluralism.,">1,000",Supporters of opposition leader and presidential candidate Bobi Wine.,1 month,No policy/leadership change in response to protests.,,,X,,Thousands,,,X,,,Kampala,Uganda,Sub-Saharan Africa,4.636,0.073,4.78,4.493,7.677,0.781,56.101,0.709,0.122,0.855,2.43,0.364,0.718,0.24,0.398,0.267,0.054,2.596,0.2869999999999999
301,Uganda,Age limit protests,Sep-17,Not free,"Introduction of a legislative proposal to remove the age limit on the presidency, empowering President Yoweri Museveni to stay in power beyond 2021.",Concern over the entrenchment of Museveni’s regime and the removal of constitutional safeguards.,>500,Students.,1 week,No policy/leadership change in response to protests.,,X,,X,Thousands,X,,,,,Kampala,Uganda,Sub-Saharan Africa,4.636,0.073,4.78,4.493,7.677,0.781,56.101,0.709,0.122,0.855,2.43,0.364,0.718,0.24,0.398,0.267,0.054,2.596,0.2869999999999999
302,Uganda,Internet tax protests,Jul-18,Not free,Announcement of government plans to introduce a tax on social media and online communication platforms.,Concern over the government’s stifling of dissent and raising of taxes on commonly used services.,>500,General public.,1 week,No policy/leadership change in response to protests.,,,X,,Thousands,X,,X,,,Kampala,Uganda,Sub-Saharan Africa,4.636,0.073,4.78,4.493,7.677,0.781,56.101,0.709,0.122,0.855,2.43,0.364,0.718,0.24,0.398,0.267,0.054,2.596,0.2869999999999999
303,Ukraine,Peace plan protests,Oct-19,Partly free,President Volodymyr Zelensky’s decision to grant special status to a separatist region in eastern Ukraine as part of a larger deal with Moscow.,Opposition to policy changes regarding Russia.,"20,000","People’s Vote campaign, pro-EU groups, general public.",1 week,No policy/leadership change in response to the protests.,,,X,,Hundreds,X,,,,X,Kyiv,Ukraine,Commonwealth of Independent States,4.875,0.052,4.977,4.773,9.436,0.888,64.902,0.724,-0.011,0.924,2.43,0.979,0.958,0.517,0.417,0.181,0.01,1.813,0.20400000000000063
